"plantType"	"traitType"	"measType"	"studies"	"est"	"pVal"	"pseudoR2.1"	"pseudoR2.2"	"pseudoR2.perc"
"CWMDiff2_cwm"	"percN"	"nh"	111	0.22	0.0441608679472991	0	0.0373313749125762	0
"CWMDiff2_cwm"	"percN"	"no"	118	0.17	0.141918618325413	0.120990092530104	0	0
"CWMDiff2_cwm"	"percN"	"toti"	141	0.13	0.147507581276215	0.00667985884931264	0	0
"CWMDiff2_cwm"	"percN"	"ammonif"	34	0.11	0.497322192086721	0	0	0
"CWMDiff2_cwm"	"percN"	"nitrif"	61	0.18	0.244639535175931	0.0713919495669349	0	0
"CWMDiff2_cwm"	"percN"	"nminz"	75	0.2	0.225483577666152	0.0493522566755506	0.0195747700984777	0
"CWMDiff2_cwm"	"percN"	"soiln"	149	0.13	0.194427206752543	0	0	0
"CWMDiff2_cwm"	"percN"	"soilcn"	79	-0.12	0.212896135990045	0.0308910899434884	0	0
"CWMDiff2_cwm"	"percN"	"som"	81	0.27	0.132558812280445	0.0771066739082052	0	0.885536731307039
"CWMDiff2_cwm"	"litterpercN"	"nh"	17	0.41	0.132254890259124	0	0.384300246244678	0
"CWMDiff2_cwm"	"litterpercN"	"no"	18	0.01	0.964705835772136	0.788636022058029	0	0
"CWMDiff2_cwm"	"litterpercN"	"toti"	17	0.53	0.10999290967271	0.38537917928133	0	0.275457506454237
"CWMDiff2_cwm"	"litterpercN"	"ammonif"	12	0.28	0.443365492701161	0.49908648292638	0	0
"CWMDiff2_cwm"	"litterpercN"	"nitrif"	15	0.66	0.128546570773303	0	0.999999516235961	1.17769440350581
"CWMDiff2_cwm"	"litterpercN"	"nminz"	12	-0.32	0.728017429985194	0	0.103309819549703	1.96664500148783
"CWMDiff2_cwm"	"litterpercN"	"soiln"	20	0.53	0.144296209143759	0.385648558955507	0	0
"CWMDiff2_cwm"	"litterpercN"	"soilcn"	8	-0.52	0.0327154727158397	0.999999997619141	0.999679052615038	0.0806849043124864
"CWMDiff2_cwm"	"litterpercN"	"som"	16	1.08	0.217204583190813	0.862199411543485	0.0214107800612977	2.80405125528786
"CWMDiff2_cwm"	"cn"	"nh"	47	-0.01	0.0764430544665897	0.999999921738472	0	0
"CWMDiff2_cwm"	"cn"	"no"	60	0	0.571049324147368	0	0.240662903178141	0
"CWMDiff2_cwm"	"cn"	"toti"	68	-0.01	0.101941732076392	0.0605849208029639	0.131286170682137	0
"CWMDiff2_cwm"	"cn"	"ammonif"	14	0	0.706009194741715	0	0.337639186987209	0
"CWMDiff2_cwm"	"cn"	"nitrif"	26	0	0.651767290589711	0	0	0
"CWMDiff2_cwm"	"cn"	"nminz"	43	-0.04	0.000331727645684966	0	0.999999936184082	0
"CWMDiff2_cwm"	"cn"	"soiln"	86	0	0.587249605588863	0	0	0
"CWMDiff2_cwm"	"cn"	"soilcn"	62	0.02	0.000161423836918392	0.23388177098816	0.999999771056413	0
"CWMDiff2_cwm"	"cn"	"som"	22	-0.01	0.522450618396402	0.0356359609878946	0	0
"CWMDiff2_cwm"	"littercn"	"nh"	11	-0.02	0.0814978831889691	0.551929311398812	0.193728064935555	0
"CWMDiff2_cwm"	"littercn"	"no"	12	-0.06	0.205473698167258	0.366127725270314	0	0
"CWMDiff2_cwm"	"littercn"	"toti"	14	-0.01	0.0357226566512771	0	0.606837898376484	0
"CWMDiff2_cwm"	"littercn"	"ammonif"	7	0	0.861871797272982	0	0	0
"CWMDiff2_cwm"	"littercn"	"nitrif"	14	-0.01	0.263097609113755	0.141719845370759	0	0
"CWMDiff2_cwm"	"littercn"	"nminz"	16	-0.01	0.256483830937447	0.20594886594666	0	0
"CWMDiff2_cwm"	"littercn"	"soiln"	17	-0.02	0.241087594414781	0.0346536867937523	0.487263907418134	0.0143372992171248
"CWMDiff2_cwm"	"littercn"	"soilcn"	9	NA	NA	NA	NA	NA
"CWMDiff2_cwm"	"littercn"	"som"	12	0	0.660248161766412	0	0	0.259341478530795
