"plantType"	"traitType"	"measType"	"studies"	"est"	"pVal"	"pseudoR2.1"	"pseudoR2.2"	"pseudoR2.perc"
"CWMDiff_cwm"	"percN"	"nh"	115	0.19	0.10542496898628	0	0	0
"CWMDiff_cwm"	"percN"	"no"	122	0.11	0.382618058213244	0.0291580725175198	0	0
"CWMDiff_cwm"	"percN"	"toti"	144	0.15	0.144944078509726	0.023063316157159	0.0592685636057236	0
"CWMDiff_cwm"	"percN"	"ammonif"	38	-0.06	0.750581836153344	0	0.0952720359011125	0
"CWMDiff_cwm"	"percN"	"nitrif"	65	0.19	0.270266175522934	0.095676258797101	0.0381380483684919	0
"CWMDiff_cwm"	"percN"	"nminz"	77	0.21	0.295496217899922	0.0608234981017486	0	0
"CWMDiff_cwm"	"percN"	"soiln"	152	-0.03	0.793381158659086	0	0.438926667483547	0
"CWMDiff_cwm"	"percN"	"soilcn"	81	0.01	0.925652206642845	0	0	0
"CWMDiff_cwm"	"percN"	"som"	81	-0.03	0.896354280061462	0	0	0.824555951701143
"CWMDiff_cwm"	"litterpercN"	"nh"	26	0.61	0.0151413567532316	0	0.941247916915171	0
"CWMDiff_cwm"	"litterpercN"	"no"	30	0.18	0.333870081822979	0	0	0
"CWMDiff_cwm"	"litterpercN"	"toti"	24	1.55	2.00783129126755e-10	0.999999999941962	0.628976229462209	0.719029851009142
"CWMDiff_cwm"	"litterpercN"	"ammonif"	15	0.32	0.503540113402245	0.333083453778506	0.431963293144843	0
"CWMDiff_cwm"	"litterpercN"	"nitrif"	18	0.58	0.303165345528445	0	0.495506140275052	0.617242729923508
"CWMDiff_cwm"	"litterpercN"	"nminz"	18	-0.1	0.859523291476148	0	0	0.480218226402468
"CWMDiff_cwm"	"litterpercN"	"soiln"	28	0.34	0.331915692112512	0.207199976335635	0	0
"CWMDiff_cwm"	"litterpercN"	"soilcn"	12	-0.38	0.124903681733984	1	0.99999999490384	0.0895290508029557
"CWMDiff_cwm"	"litterpercN"	"som"	18	0.51	0.530905393556612	0.61250602432213	0	2.11350640368143
"CWMDiff_cwm"	"cn"	"nh"	48	-0.01	0.349791088363627	0.640581176078407	0	0
"CWMDiff_cwm"	"cn"	"no"	61	0	0.657115084977939	0	0.446991564819745	0
"CWMDiff_cwm"	"cn"	"toti"	70	-0.02	0.0342386296563256	0.221685744627768	0	0
"CWMDiff_cwm"	"cn"	"ammonif"	16	-0.01	0.389472520392354	0.679571076639035	0.0273994563954468	0
"CWMDiff_cwm"	"cn"	"nitrif"	28	0	0.793866948487618	0	0	0
"CWMDiff_cwm"	"cn"	"nminz"	46	-0.03	0.00382138587041616	0	0.999999862447188	0
"CWMDiff_cwm"	"cn"	"soiln"	89	-0.01	0.362761142502656	0	0	0
"CWMDiff_cwm"	"cn"	"soilcn"	66	0.03	0.000280517959574569	0	0.999999958596179	0
"CWMDiff_cwm"	"cn"	"som"	22	-0.01	0.538127009466693	0.244792343026169	0	0
"CWMDiff_cwm"	"littercn"	"nh"	17	-0.02	0.0905376602771012	0.23392446184419	0.154315498953518	0
"CWMDiff_cwm"	"littercn"	"no"	18	-0.02	0.260503023450832	0	0	0
"CWMDiff_cwm"	"littercn"	"toti"	23	-0.02	0.0016513762693686	0.590513988668659	0.518086327367863	0.3547571616236
"CWMDiff_cwm"	"littercn"	"ammonif"	10	0	0.646700627569109	0.587278562909552	0.889229984686409	0
"CWMDiff_cwm"	"littercn"	"nitrif"	18	-0.01	0.159969803681271	0.205701122054993	0	0
"CWMDiff_cwm"	"littercn"	"nminz"	22	-0.01	0.0615346868860227	0.424512123649427	0	0
"CWMDiff_cwm"	"littercn"	"soiln"	23	-0.01	0.128192997735636	0.287068265643791	0	0.0629692222304532
"CWMDiff_cwm"	"littercn"	"soilcn"	13	0.01	0.403611880954561	0.984724595519247	0	0
"CWMDiff_cwm"	"littercn"	"som"	13	0	0.979646353653872	0	0	0
