"paperID"	"author1"	"year"	"title"	"journal"	"liao"	"vila"	"castroDiez"	"sourceOverlap"	"nObs"	"ammonif"	"nh"	"nitrif"	"nminz"	"no"	"soilcn"	"soiln"	"som"	"toti"
"1"	1	"Allison"	2006	"Elevated enzyme activities in soils under the invasive nitrogen-fixing tree Falcataria moluccana"	"Soil Biology and Biochemistry"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	3	0	0	0	0	0	0	3	0	0
"2"	5	"Ashton"	2005	"Invasive species accelerate decomposition and litter nitrogen loss in a mixed deciduous forest"	"Ecological Applications"	"Yes"	NA	"Yes"	"PaperInPreviousMeta"	1	0	1	0	0	1	0	0	1	1
"3"	6	"Asner"	1996	"Effects of an African grass invasion on Hawaiian shrubland nitrogen biogeochemistry"	"Plant and Soil"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	2	2	0	2	0	0	0	2	0	2
"4"	7	"Baer"	2006	"Changes in intrasystem N cycling from N2-fixing shrub encroachment in grassland: multiple positive feedbacks"	"Agriculture Ecosystems and Environment"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	1	1	1	1	1	1	1	1	0	1
"5"	11	"Belnap"	2001	"Soil biota in an ungrazed grassland: Response to annual grass (Bromus tectorum) invasion"	"Ecological Applications"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	2	0	2	0	0	2	0	2	0	0
"6"	12	"Belnap"	2005	"Soil biota can change after exotic plant invasion: does this affect ecosystem processes?"	"Ecology"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	2	2	2	0	0	2	0	2	2	2
"7"	14	"Blank"	2002	"\"Influence of the exotic invasive crucifer, Lepidium latifolium on soil properties and elemental cycling\""	"Soil Science"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	1	0	0	0	0	0	1	1	0	0
"8"	15	"Booth"	2003	"Inorganic N turnover and availability in annual- and perennial-dominated soils in a northern Utah shrub-steppe ecosystem"	"Biogeochemistry"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	2	1	1	2	1	1	0	2	0	2
"9"	16	"Boswell"	1998	"Uptake of moisture and nutrients by Hieracium pilosella and effects on soil in a dry sub-humid grassland"	"New Zealand Journal of Agricultural Research"	"Yes"	NA	NA	"PaperInPreviousMeta"	1	0	0	0	0	0	1	1	1	0
"10"	18	"Caldwell"	2006	"Effects of invasive scotch broom on soil properties in a Pacific coastal prairie soil"	"Applied Soil Ecology"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	0	0	0	0	1	1	1	0
"11"	19	"Chapuis-Lardy"	2006	"Effect of the exotic invasive plant Solidago gigantea on soil phosphorus status"	"Biology and Fertility of Soils"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	3	0	0	0	0	0	3	3	0	0
"12"	21	"Christian"	1999	"Long-term ecosystem impacts of an introduced grass in the northern Great Plains"	"Ecology"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	2	0	0	0	0	0	2	2	0	2
"13"	25	"Ehrenfeld"	2001	"Changes in soil functions following invasions of exotic understory plants in deciduous forests"	"Ecological Applications"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	7	7	7	7	0	7	0	0	2	7
"14"	27	"Evans"	2001	"Exotic plant invasion alters nitrogen dynamics in an arid grassland"	"Ecological Applications"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	2	0	0	0	2	0	0	0	0	2
"15"	29	"Fickbohm"	2006	"Exotic purple loosestrife invasion of native cattail freshwater wetlands: Effects on organic matter distribution and soil nitrogen cycling"	"Applied Soil Ecology"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	2	0	2	2	2	2	0	0	2	2
"16"	30	"Funk"	2005	"\"Hedychium gardnerianum invasion into Hawaiian montane rainforest: interactions among litter quality, decomposition rate, and soil nitrogen availability\""	"Biogeochemistry"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	0	1	1	0	0	0	0	1
"17"	36	"Hawkes"	2005	"Plant invasion alters nitrogen cycling by modifying the soil nitrifying community"	"Ecology Letters"	"Yes"	NA	"Yes"	"PaperInPreviousMeta"	2	2	2	2	0	2	0	0	0	2
"18"	38	"Heneghan"	2006	"\"The invasive shrub European buckthorn (Rhamnus cathartica, L) alters soil properties in Midwestern US woodlands\""	"Applied Soil Ecology"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	3	2	0	2	2	0	3	3	0	3
"19"	40	"Hook"	2004	"\"Effects of the invasive Forb Centaurea maculosa on grassland carbon and nitrogen pools in Montana, USA\""	"Ecosystems"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	9	0	0	0	9	0	9	9	0	3
"20"	41	"Hoopes"	2002	"Edaphic factors and competition affect pattern formation and invasion in a California grassland"	"Ecological Applications"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	2	0	2	0	0	2	0	0	2	2
"21"	43	"Hughes"	2005	"Invasion by a N2 fixing tree alters function and structure in wet lowland forests of Hawaii"	"Ecological Applications"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	3	0	0	0	0	0	0	0	0	3
"22"	46	"Kourtev"	2003	"Experimental analysis of the effect of exotic and native plant species on the structure and function of soil microbial communities"	"Soil Biology and Biochemistry"	"Yes"	NA	"Yes"	"PaperInPreviousMeta"	2	2	2	2	2	2	0	0	2	0
"23"	47	"Lett"	2004	"Influence of shrub encroachment on aboveground net primary productivity and carbon and nitrogen pools in a mesic grassland"	"Canadian Journal of Botany-Revue Canadienne De Botanique"	"Yes"	NA	NA	"PaperInPreviousMeta"	2	0	0	0	0	0	2	2	0	0
"24"	48	"Li"	2006	"\"Changes in soil microbial community associated with invasion of the exotic weed, Mikania micrantha HBK\""	"Plant and Soil"	"Yes"	NA	NA	"PaperInPreviousMeta"	3	0	3	0	0	3	0	3	3	3
"25"	53	"Lindsay"	2005	"Litterfall and nitrogen cycling following invasion by Chrysanthemoides monilifera ssp rotundata in coastal Australia"	"Journal of Applied Ecology"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	1	0	0	1	0	1	0	1
"26"	56	"Mack"	2003	"Exotic grasses alter controls over soil nitrogen dynamics in a Hawaiian woodland"	"Ecological Applications"	"Yes"	NA	"Yes"	"PaperInPreviousMeta"	4	0	0	4	4	0	4	4	0	0
"27"	57	"Mahaney"	2006	"\"Impacts of Lythrum salicaria invasion on plant community and soil properties in two wetlands in central New York, USA\""	"Canadian Journal of Botany-Revue Canadienne De Botanique"	"Yes"	NA	NA	"PaperInPreviousMeta"	3	0	3	0	0	3	0	0	3	3
"28"	58	"McCarron"	2003	"Soil C and N responses to woody plant expansion in a mesic grassland"	"Plant and Soil"	"Yes"	NA	NA	"PaperInPreviousMeta"	1	0	1	0	1	1	0	0	0	1
"29"	59	"McCulley"	2004	"Soil respiration and nutrient cycling in wooded communities developing in grassland"	"Ecology"	"Yes"	NA	NA	"PaperInPreviousMeta"	3	0	3	3	3	3	3	3	0	3
"30"	60	"McIntosh"	1995	"Soil changes under mouse-ear hawkweed (Hieracium pilosella)"	"New Zealand Journal of Ecology"	"Yes"	NA	NA	"PaperInPreviousMeta"	3	0	0	0	0	0	3	3	3	0
"31"	61	"Meyerson"	1999	"The effects of Phragmites removal on nutrient pools in a freshwater tidal marsh ecosystem"	"Biological Invasions"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	4	0	4	0	0	0	0	2	0	0
"32"	62	"Mitchell"	1997	"\"A study of succession on lowland heaths in Dorset, southern England: Changes in vegetation and soil chemical properties\""	"Journal of Applied Ecology"	"Yes"	NA	"Yes"	"PaperInPreviousMeta"	8	0	8	0	0	8	0	0	8	8
"33"	64	"Musil"	1993	"\"Effect of invasive Australian acacias on the regeneration, growth and nutrient chemistry of South African lowland fynbos\""	"Journal of Applied Ecology"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	0	0	0	0	0	1	0	0
"34"	69	"Otto"	1999	"Invasive plant species and microbial processes in a tidal freshwater marsh"	"Journal of Environmental Quality"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	2	0	2	0	2	0	0	2	0	0
"35"	71	"Reed"	2005	"Ecological consequences of C4 grass invasion of a C4 grassland: A dilemma for management"	"Ecological Applications"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	2	0	0	2	2	0	2	2	0	0
"36"	72	"Rimer"	2006	"Invasion of downy brome (Bromus tectorum L) causes rapid changes in the nitrogen cycle"	"American Midland Naturalist"	"Yes"	NA	NA	"PaperInPreviousMeta"	1	0	0	0	1	0	0	0	0	1
"37"	74	"Saggar"	1999	"\"Changes in soil microbial biomass, metabolic quotient, and organic matter turnover under Hieracium (H pilosella L)\""	"Biology and Fertility of Soils"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	1	0	0	0	0	0	1	1	0	1
"38"	75	"Scott"	2001	"Biogeochemical impact of Hieracium invasion in New Zealand’s grazed tussock grasslands: Sustainability implications"	"Ecological Applications"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	3	0	0	0	0	0	3	3	0	3
"39"	77	"Sperry"	2006	"Bromus tectorum invasion alters nitrogen dynamics in an undisturbed arid grassland ecosystem"	"Ecology"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	4	0	4	0	0	4	0	4	0	4
"40"	78	"Standish"	2004	"Invasion by a perennial herb increases decomposition rate and alters nutrient availability in warm temperate lowland forest remnants"	"Biological Invasions"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	1	0	0	1	0	0	0	0
"41"	80	"Stock"	1995	"Impacts of invading N2-fixing Acacia species on patterns of nutrient cycling in two Cape ecosystems: evidence from soil incubation studies and 15N natural abundance values"	"Oecologia"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	2	0	2	0	2	2	2	2	2	2
"42"	82	"Svejcar"	2001	"Nitrogen dynamics in perennial- and annual-dominated arid rangeland"	"Journal of Arid Environments"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	3	3	3	3	3	3	0	3	0	3
"43"	85	"Vanderhoeven"	2005	"Increased topsoil mineral nutrient concentrations under exotic invasive plants in Belgium"	"Plant and Soil"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	8	0	0	0	0	0	8	8	8	0
"44"	87	"Vitousek"	1989	"\"Biological invasion by Myrica faya in Hawai’i: Plant demography, nitrogen fixation, ecosystem effects\""	"Ecological Monographs"	"Yes"	NA	NA	"PaperInPreviousMeta"	3	0	3	3	3	3	0	0	0	0
"45"	88	"Wedin"	1993	"Nitrogen mineralization dynamics in grass monocultures"	"Oecologia"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	6	0	0	0	6	0	6	6	0	0
"46"	91	"Windham"	2003	"Net impact of a plant invasion on nitrogen-cycling processes within a brackish tidal marsh"	"Ecological Applications"	"Yes"	"Yes"	NA	"PaperInPreviousMeta"	3	3	3	3	3	3	0	3	3	0
"47"	93	"Witkowski"	1991	"Effects of invasive alien Acacias on nutrient cycling in the coastal lowlands of the cape fynbos"	"Journal of Applied Ecology"	"Yes"	"Yes"	"Yes"	"PaperInPreviousMeta"	2	0	2	0	0	2	0	2	2	2
